,CAD_EVNT_ID,CREATE_DATE,INCIDENT_DATE,INCIDENT_TIME,NYPD_PCT_CD,BORO_NM,PATRL_BORO_NM,GEO_CD_X,GEO_CD_Y,RADIO_CODE,TYP_DESC,CIP_JOBS,ADD_TS,DISP_TS,ARRIVD_TS,CLOSNG_TS,Latitude,Longitude
48782,74268382,01/15/2021,01/15/2021,01:31:08,113,QUEENS,PATROL BORO QUEENS SOUTH,1042087,190443,54E1,AMBULANCE CASE: EDP/INSIDE,Non CIP,01/15/2021 01:31:08 AM,01/15/2021 01:32:05 AM,01/15/2021 01:34:39 AM,01/15/2021 02:04:40 AM,40.689218,-73.791449
31242,74161136,01/09/2021,01/09/2021,23:00:46,114,QUEENS,PATROL BORO QUEENS NORTH,999484,214810,75D,VISIBILITY PATROL: DIRECTED,Non CIP,01/09/2021 11:00:46 PM,01/09/2021 11:00:46 PM,01/09/2021 11:00:46 PM,01/09/2021 11:34:21 PM,40.756275,-73.945014
104438,74614555,01/31/2021,01/31/2021,08:42:43,109,QUEENS,PATROL BORO QUEENS NORTH,1029090,225201,75D,VISIBILITY PATROL: DIRECTED,Non CIP,01/31/2021 08:42:43 AM,01/31/2021 08:42:43 AM,01/31/2021 08:42:43 AM,01/31/2021 09:42:08 AM,40.784695,-73.838082
79890,74461245,01/24/2021,01/24/2021,02:39:34,103,QUEENS,PATROL BORO QUEENS SOUTH,1041687,193629,75D,VISIBILITY PATROL: DIRECTED,Non CIP,01/24/2021 02:39:34 AM,01/24/2021 02:39:34 AM,01/24/2021 02:39:34 AM,01/24/2021 02:53:22 AM,40.697965,-73.792864
69250,74394649,01/21/2021,01/21/2021,01:01:50,115,QUEENS,PATROL BORO QUEENS NORTH,1021881,215360,75D,VISIBILITY PATROL: DIRECTED,Non CIP,01/21/2021 01:01:50 AM,01/21/2021 01:01:51 AM,01/21/2021 01:01:51 AM,01/21/2021 01:25:35 AM,40.757718,-73.864169
100918,74593223,01/30/2021,01/30/2021,09:28:36,109,QUEENS,PATROL BORO QUEENS NORTH,1030928,217007,54E1,AMBULANCE CASE: EDP/INSIDE,Non CIP,01/30/2021 09:28:36 AM,01/30/2021 09:30:11 AM,01/30/2021 09:32:06 AM,01/30/2021 09:48:32 AM,40.762196,-73.831502
101338,74595902,01/30/2021,01/30/2021,12:23:48,115,QUEENS,PATROL BORO QUEENS NORTH,1016985,215099,22V2,LARCENY (PAST): VEHICLE/OUTSIDE,Non CIP,01/30/2021 12:23:48 PM,01/30/2021 12:24:42 PM,01/30/2021 12:36:27 PM,01/30/2021 02:27:04 PM,40.757021,-73.881843
103403,74608464,01/31/2021,01/31/2021,00:17:04,115,QUEENS,PATROL BORO QUEENS NORTH,1020277,215165,29H1,OTHER CRIMES (PAST): HARASSMENT/INSIDE,Non CIP,01/31/2021 12:17:04 AM,01/31/2021 12:18:22 AM,01/31/2021 12:19:54 AM,01/31/2021 12:40:55 AM,40.75719,-73.86996
21793,74104828,01/07/2021,01/07/2021,09:52:39,104,QUEENS,PATROL BORO QUEENS NORTH,1014566,192784,75D,VISIBILITY PATROL: DIRECTED,Non CIP,01/07/2021 09:52:39 AM,01/07/2021 09:52:39 AM,01/07/2021 09:52:39 AM,01/07/2021 10:02:09 AM,40.695781,-73.890675
37339,74198190,01/11/2021,01/11/2021,19:04:02,101,QUEENS,PATROL BORO QUEENS SOUTH,1053917,158965,68Q1,SEE COMPLAINANT: OTHER/INSIDE,Non CIP,01/11/2021 07:04:02 PM,01/11/2021 07:14:48 PM,01/11/2021 07:37:07 PM,01/11/2021 07:47:13 PM,40.602733,-73.749116
91492,74534043,01/27/2021,01/27/2021,16:02:37,114,QUEENS,PATROL BORO QUEENS NORTH,1005915,216280,32Q1,LARCENY (IN PROGRESS): OTHER/INSIDE,Serious,01/27/2021 04:02:37 PM,01/27/2021 04:04:18 PM,01/27/2021 04:11:21 PM,01/27/2021 04:43:34 PM,40.760297,-73.921797
96700,74566640,01/29/2021,01/29/2021,02:33:56,105,QUEENS,PATROL BORO QUEENS SOUTH,1053067,199671,11C4,ALARMS: COMMERCIAL/BURGLARY,Non CIP,01/29/2021 02:34:25 AM,01/29/2021 02:35:51 AM,01/29/2021 02:48:54 AM,01/29/2021 02:48:56 AM,40.714468,-73.751762
73182,74419573,01/22/2021,01/22/2021,06:03:15,100,QUEENS,PATROL BORO QUEENS SOUTH,1036299,153335,75B,BUS INVESTIGATION,Non CIP,01/22/2021 06:03:15 AM,01/22/2021 06:03:17 AM,,01/22/2021 06:03:24 AM,40.587401,-73.812606
7747,74020424,01/03/2021,01/03/2021,07:52:18,111,QUEENS,PATROL BORO QUEENS NORTH,1051788,211962,10Y3,INVESTIGATE/POSSIBLE CRIME: SERIOUS/OTHER,Non CIP,01/03/2021 07:52:18 AM,01/03/2021 07:53:29 AM,01/03/2021 08:12:19 AM,01/03/2021 08:12:27 AM,40.748214,-73.756252
16595,74074154,01/05/2021,01/05/2021,21:11:32,107,QUEENS,PATROL BORO QUEENS SOUTH,1041987,203771,75D,VISIBILITY PATROL: DIRECTED,Non CIP,01/05/2021 09:11:32 PM,01/05/2021 09:11:32 PM,01/05/2021 09:11:32 PM,01/05/2021 10:07:31 PM,40.725801,-73.791695
