District,Grade,Year,Category,# Total Days,# Days Absent,# Days Present,% Attendance,# Contributing 20+ Total Days,# Chronically Absent,% Chronically Absent
21,2,2016-17,All Students,399164,25436,373728,93.6,2357,484,20.5
21,2,2017-18,All Students,395137,25584,369553,93.5,2318,521,22.5
21,2,2018-19,All Students,384678,25332,359346,93.4,2260,491,21.7
21,3,2013-14,All Students,377209,22758,354451,94.0,2186,396,18.1
21,3,2014-15,All Students,384433,20832,363601,94.6,2196,347,15.8
21,3,2015-16,All Students,406921,21887,385034,94.6,2373,418,17.6
21,3,2016-17,All Students,395568,23290,372278,94.1,2332,430,18.4
21,3,2017-18,All Students,407083,26241,380842,93.6,2370,503,21.2
21,3,2018-19,All Students,388594,24057,364537,93.8,2280,496,21.8
21,4,2013-14,All Students,371742,20831,350911,94.4,2151,363,16.9
21,4,2014-15,All Students,384791,19524,365267,94.9,2188,313,14.3
21,4,2015-16,All Students,372431,18823,353608,94.9,2168,330,15.2
21,4,2016-17,All Students,404104,22885,381219,94.3,2384,446,18.7
21,4,2017-18,All Students,399926,24014,375912,94.0,2325,463,19.9
21,4,2018-19,All Students,402991,24736,378255,93.9,2344,504,21.5
21,5,2013-14,All Students,342051,18629,323422,94.6,1965,328,16.7
21,5,2014-15,All Students,367670,18168,349502,95.1,2090,302,14.4
21,5,2015-16,All Students,377677,18707,358970,95.0,2185,303,13.9
21,5,2016-17,All Students,361099,19461,341638,94.6,2112,348,16.5
21,5,2017-18,All Students,395587,22598,372989,94.3,2289,407,17.8
21,5,2018-19,All Students,399387,23084,376303,94.2,2310,431,18.7
21,6,2013-14,All Students,496176,27652,468524,94.4,2830,431,15.2
21,6,2014-15,All Students,515550,26633,488917,94.8,2905,384,13.2
21,6,2015-16,All Students,519012,25239,493773,95.1,2994,418,14.0
21,6,2016-17,All Students,544089,29196,514893,94.6,3170,492,15.5
21,6,2017-18,All Students,555478,30481,524997,94.5,3201,509,15.9
21,6,2018-19,All Students,572969,31023,541946,94.6,3295,524,15.9
21,7,2013-14,All Students,494154,27513,466641,94.4,2815,433,15.4
21,7,2014-15,All Students,511342,26744,484598,94.8,2883,449,15.6
21,7,2015-16,All Students,512987,25212,487775,95.1,2949,410,13.9
21,7,2016-17,All Students,520925,26332,494593,94.9,3027,442,14.6
21,7,2017-18,All Students,544411,28242,516169,94.8,3126,487,15.6
21,7,2018-19,All Students,552925,28742,524183,94.8,3179,475,14.9
21,8,2013-14,All Students,495657,34818,460839,93.0,2818,601,21.3
21,8,2014-15,All Students,506704,31112,475592,93.9,2840,503,17.7
21,8,2015-16,All Students,508897,31312,477585,93.8,2917,540,18.5
21,8,2016-17,All Students,513558,34236,479322,93.3,2971,633,21.3
21,8,2017-18,All Students,534501,35007,499494,93.5,3056,623,20.4
21,8,2018-19,All Students,549235,34941,514294,93.6,3155,624,19.8
