objectid,globalid,Seating Interest (Sidewalk/Roadway/Both),Restaurant Name,Legal Business Name,Doing Business As (DBA),Building Number,Street,Borough,Postcode,Business Address,Food Service Establishment Permit #,Sidewalk Dimensions (Length),Sidewalk Dimensions (Width),Sidewalk Dimensions (Area),Roadway Dimensions (Length),Roadway Dimensions (Width),Roadway Dimensions (Area),Approved for Sidewalk Seating,Approved for Roadway Seating,Qualify Alcohol,SLA Serial Number,SLA License Type,Landmark District or Building,landmarkDistrict_terms,healthCompliance_terms,Time of Submission,Latitude,Longitude,Community Board,Council District,Census Tract,BIN,BBL,NTA
1365,1a95dce6-a7ff-4872-8f69-09485fa85273,both,Kobrick Coffee Co.,"Rehandari, LLC",Kobrick Coffee Co.,24,9th Avenue,Manhattan,10014,"24  9th Avenue , Manhattan, NY",40955649,48,11,528,65,8,520,yes,yes,yes,1138317,OP,yes,yes,yes,06/19/2020 03:57:00 PM,40.74041,-74.005745,2,3,79,1011691,1006290001,West Village
5336,{6DE035AC-0B9B-4C2C-8C1F-FA4BCCBD434F},both,Blue Bottle Coffee,Blue Bottle Coffee Inc.,Blue Bottle Coffee,2,Astor place,Manhattan,10003,"2  Astor place, Manhattan, NY",50093350,24,5,120,24,8,192,yes,yes,no,,,yes,yes,yes,06/25/2020 12:56:00 PM,40.730038,-73.992632,2,2,57,1080092,1005450026,West Village
8714,{6F8132D7-BCE1-4894-8DF0-66DDCA9BFF97},both,Blue Bottle Coffee,Blue Bottle Coffee,Blue Bottle Coffee,450,W 15th St.,Manhattan,10014,"450  W 15th St. , Manhattan, NY",50050372,24,35,840,24,4,96,yes,yes,no,,,no,,yes,07/17/2020 09:48:00 AM,40.742463,-74.006842,4,3,83,1080355,1007120001,Hudson Yards-Chelsea-Flatiron-Union Square
12987,{ACCCE99D-C3E5-4F4B-8CD7-31C76E85A043},sidewalk,787 COFFEE ROASTERS,787 COFFEE ROASTERS LLC,787 COFFEE ROASTERS,,30 BROAD STREET,Manhattan,10004,"30 BROAD STREET, Manhattan, NY",50107624,9,8,72,,,,yes,no,no,,,no,,yes,10/19/2021 04:31:00 PM,40.70618,-74.01125,1,1,9,1000819,1000240029,Battery Park City-Lower Manhattan
595,570ea73c-2d59-48d9-8932-3e294160990a,sidewalk,le cafe coffee,le cafe park ave llc,le cafe park ave llc,407,park ave south,Manhattan,10016,"407 park ave south, Manhattan, NY",50081167,12,12,144,,,,yes,no,no,,,no,,yes,06/19/2020 01:15:00 PM,40.743324,-73.983695,5,2,72,1018204,1008840001,Murray Hill-Kips Bay
9549,{A38F4AA9-BB0B-46BE-8FD4-43CEEA16C75D},sidewalk,Gregorys Coffee,762 7th Coffee and Bakery LLC,762 7th Coffee and Bakery LLC,762,7th Avenue,Manhattan,10019,"762 7th Avenue, Manhattan, NY",50055969,40,15,600,,,,yes,no,no,,,no,,yes,07/30/2020 11:14:00 AM,40.761192,-73.983204,5,4,131,1024810,1010220026,Midtown-Midtown South
2038,{42e562e6-7c3f-4e66-8ef7-1ca087ea612a},both,andrews coffee shop,Andrews Thirty Fifth Street Coffee Shop Inc,andrews coffee shop,463,7th Avenue,Manhattan,10018,"463 7th Avenue, Manhattan, NY",40378579,31,18,558,27,8,216,yes,yes,yes,1256566,RW,no,,yes,06/20/2020 07:05:00 AM,40.751749,-73.990057,5,3,109,1015222,1008110001,Midtown-Midtown South
7358,{0F443719-3A8E-4086-8536-53E1C2A4847A},sidewalk,Gregorys Coffee,Park Coffee and Bakery LLC,Park Coffee and Bakery LLC,2,Park Avenue,Manhattan,10016,"2 Park Avenue, Manhattan, NY",50012068,30,15,450,,,,yes,no,no,,,no,,yes,07/06/2020 09:54:00 AM,40.746077,-73.982092,5,2,74,1017019,1008620029,Midtown-Midtown South
683,b92c084a-a135-4e0a-870c-cabec50e0c46,sidewalk,le cafe coffee,le cafe coffee 661 llc,le cafe coffee,611,lexington av,Manhattan,10022,"611 lexington av, Manhattan, NY",50054524,12,12,144,,,,yes,no,no,,,no,,yes,06/19/2020 01:35:00 PM,40.758593,-73.97082,6,4,100,1036474,1013087501,Turtle Bay-East Midtown
3305,{44a1bc13-ea99-4792-8547-7ca202c2a989},sidewalk,"Rossy's Bakery & Coffee Shop, Inc","Rossy's Bakery & Coffee Shop, Inc","Rossy's Bakery & Coffee Shop, Inc",242,E. 3rd Street,Manhattan,10009,"242 E. 3rd Street, Manhattan, NY",41457591,14,17,238,,,,yes,no,no,,,no,,yes,06/22/2020 10:15:00 AM,40.72222,-73.981915,3,2,2202,1004594,1003850026,Lower East Side
