DBN,School Name,Grade,Year,Number Tested,# Level 3+4
13K282,P.S. 282 PARK SLOPE,3,2019,45,20
13K287,P.S. 287 BAILEY K. ASHFORD,3,2019,16,4
13K305,P.S. 305 DR. PETER RAY,3,2019,19,3
13K307,P.S. 307 DANIEL HALE WILLIAMS,3,2019,33,12
13K492,ACADEMY OF ARTS AND LETTERS,3,2019,32,27
14K016,P.S. 016 LEONARD DUNKLY,3,2019,36,16
14K017,P.S. 017 HENRY D. WOODWORTH,3,2019,38,24
14K018,P.S. 018 EDWARD BUSH,3,2019,22,5
14K023,P.S. 023 CARTER G. WOODSON,3,2019,33,15
14K031,P.S. 031 SAMUEL F. DUPONT,3,2019,93,71
14K034,P.S. 034 OLIVER H. PERRY,3,2019,64,36
14K059,P.S. 059 WILLIAM FLOYD,3,2019,45,18
14K084,P.S. 084 JOSE DE DIEGO,3,2019,81,45
14K110,P.S. 110 THE MONITOR,3,2019,80,59
14K120,P.S. 120 CARLOS TAPIA,3,2019,57,13
14K132,P.S. 132 THE CONSELYEA SCHOOL,3,2019,89,66
14K147,P.S. 147 ISAAC REMSEN,3,2019,33,15
14K157,P.S./I.S. 157 THE BENJAMIN FRANKLIN HEALTH & SCIEN,3,2019,31,16
14K196,P.S. 196 TEN EYCK,3,2019,26,14
14K250,P.S. 250 GEORGE H. LINDSAY,3,2019,62,22
14K257,P.S. 257 JOHN F. HYLAN,3,2019,74,35
14K297,P.S. 297 ABRAHAM STOCKTON,3,2019,24,7
14K380,P.S. 380 JOHN WAYNE ELEMENTARY,3,2019,70,36
14K414,BROOKLYN ARBOR ELEMENTARY SCHOOL,3,2019,109,39
15K001,P.S. 001 THE BERGEN,3,2019,170,60
15K015,P.S. 015 PATRICK F. DALY,3,2019,47,22
15K024,P.S. 024,3,2019,83,26
15K029,P.S. 029 JOHN M. HARRIGAN,3,2019,147,122
15K032,P.S. 032 SAMUEL MILLS SPROLE,3,2019,66,43
15K038,P.S. 038 THE PACIFIC,3,2019,63,50
15K039,P.S. 039 HENRY BRISTOW,3,2019,74,67
15K058,P.S. 058 THE CARROLL,3,2019,149,124
15K094,P.S. 094 THE HENRY LONGFELLOW,3,2019,198,133
15K107,P.S. 107 JOHN W. KIMBALL,3,2019,78,75
15K118,THE MAURICE SENDAK COMMUNITY SCHOOL,3,2019,39,28
15K124,P.S. 124 SILAS B. DUTCHER,3,2019,30,13
15K130,P.S. 130 THE PARKSIDE,3,2019,114,66
15K131,P.S. 131 BROOKLYN,3,2019,139,100
15K154,THE WINDSOR TERRACE SCHOOL,3,2019,72,53
15K169,P.S. 169 SUNSET PARK,3,2019,207,110
15K172,P.S. 172 BEACON SCHOOL OF EXCELLENCE,3,2019,75,74
15K230,P.S. 230 DORIS L. COHEN,3,2019,154,102
15K261,P.S. 261 PHILIP LIVINGSTON,3,2019,50,34
15K295,P.S. 295,3,2019,57,44
15K321,P.S. 321 WILLIAM PENN,3,2019,170,146
15K516,SUNSET PARK AVENUES ELEMENTARY SCHOOL,3,2019,71,23
15K676,RED HOOK NEIGHBORHOOD SCHOOL,3,2019,16,4
16K005,P.S. 005 DR. RONALD MCNAIR,3,2019,26,8
16K021,P.S. 021 CRISPUS ATTUCKS,3,2019,69,41
16K025,P.S. 025 EUBIE BLAKE SCHOOL,3,2019,9,5
16K026,P.S. 026 JESSE OWENS,3,2019,49,37
16K028,P.S. 028 THE WARREN PREP ACADEMY,3,2019,8,6
16K040,P.S. 040 GEORGE W. CARVER,3,2019,51,44
16K081,P.S. 081 THADDEUS STEVENS,3,2019,36,11
16K243,P.S. 243K- THE WEEKSVILLE SCHOOL,3,2019,30,11
16K262,P.S. 262 EL HAJJ MALIK EL SHABAZZ ELEMENTARY SCHOO,3,2019,20,12
16K308,P.S. 308 CLARA CARDWELL,3,2019,18,4
16K309,P.S. 309 THE GEORGE E. WIBECAN PREPARATORY ACADEMY,3,2019,31,10
16K335,P.S. 335 GRANVILLE T. WOODS,3,2019,34,14
16K627,BRIGHTER CHOICE COMMUNITY SCHOOL,3,2019,36,5
16K628,BROOKLYN BROWNSTONE SCHOOL,3,2019,33,23
17K006,NORMA ADAMS CLEMONS ACADEMY,3,2019,111,44
17K012,DR. JACQUELINE PEEK-DAVIS SCHOOL,3,2019,29,6
17K091,P.S. 091 THE ALBANY AVENUE SCHOOL,3,2019,31,14
17K092,P.S. 092 ADRIAN HEGEMAN,3,2019,58,30
17K138,P.S. 138 BROOKLYN,3,2019,42,35
17K161,P.S. 161 THE CROWN,3,2019,46,22
17K181,P.S. 181 BROOKLYN,3,2019,54,12
17K189,P.S. 189 THE BILINGUAL CENTER,3,2019,105,59
17K191,P.S. 191 PAUL ROBESON,3,2019,15,11
17K221,P.S. 221 TOUSSAINT L'OUVERTURE,3,2019,40,17
17K241,P.S. 241 EMMA L. JOHNSTON,3,2019,63,49
17K249,P.S. 249 THE CATON,3,2019,134,105
17K289,P.S. 289 GEORGE V. BROWER,3,2019,35,16
17K316,P.S. 316 ELIJAH STROUD,3,2019,69,44
17K375,P.S. 375 JACKIE ROBINSON SCHOOL,3,2019,51,19
17K394,M.S. K394,3,2019,36,11
17K397,P.S. 397 FOSTER-LAURIE,3,2019,23,12
17K398,P.S. 398 WALTER WEAVER,3,2019,34,18
17K399,P.S. 399 STANLEY EUGENE CLARK,3,2019,48,14
17K532,NEW BRIDGES ELEMENTARY,3,2019,60,27
17K705,BROOKLYN ARTS AND SCIENCE ELEMENTARY SCHOOL,3,2019,49,25
17K770,P.S. 770 NEW AMERICAN ACADEMY,3,2019,39,23
18K066,P.S. 66,3,2019,60,36
18K114,P.S. 114 RYDER ELEMENTARY,3,2019,70,27
18K115,P.S. 115 DANIEL MUCATEL SCHOOL,3,2019,147,73
18K135,P.S. 135 SHELDON A. BROOKNER,3,2019,89,46
18K208,P.S. 208 ELSA EBELING,3,2019,42,28
18K219,P.S. 219 KENNEDY-KING,3,2019,60,30
18K233,P.S. 233 LANGSTON HUGHES,3,2019,59,40
18K235,P.S. 235 JANICE MARIE KNIGHT SCHOOL,3,2019,147,94
18K244,P.S. 244 RICHARD R. GREEN,3,2019,50,35
18K268,P.S. 268 EMMA LAZARUS,3,2019,58,14
18K272,P.S. 272 CURTIS ESTABROOK,3,2019,75,18
18K276,P.S. 276 LOUIS MARSHALL,3,2019,87,36
18K279,P.S. 279 HERMAN SCHREIBER,3,2019,59,33
19K007,P.S. 007 ABRAHAM LINCOLN,3,2019,120,45
19K013,P.S. 013 ROBERTO CLEMENTE,3,2019,53,23
19K065,P.S. 065,3,2019,107,61
19K089,P.S. 089 CYPRESS HILLS,3,2019,48,16
19K108,P.S. 108 SAL ABBRACCIAMENTO,3,2019,137,75
19K149,P.S. 149 DANNY KAYE,3,2019,87,39
19K158,P.S. 158 WARWICK,3,2019,79,18
19K159,P.S. 159 ISAAC PITKIN,3,2019,127,71
19K190,P.S. 190 SHEFFIELD,3,2019,26,10
19K202,P.S. 202 ERNEST S. JENKYNS,3,2019,62,18
19K213,P.S. 213 NEW LOTS,3,2019,27,4
19K214,P.S. 214 MICHAEL FRIEDSAM,3,2019,118,54
19K224,P.S. 224 HALE A. WOODRUFF,3,2019,56,13
19K273,P.S. 273 WORTMAN,3,2019,51,11
19K290,P.S. 290 JUAN MOREL CAMPOS,3,2019,68,35
19K306,P.S. 306 ETHAN ALLEN,3,2019,37,10
19K325,THE FRESH CREEK SCHOOL,3,2019,34,8
19K328,P.S. 328 PHYLLIS WHEATLEY,3,2019,29,9
19K345,P.S. 345 PATROLMAN ROBERT BOLDEN,3,2019,89,19
19K346,P.S. 346 ABE STARK,3,2019,74,36
19K557,BROOKLYN GARDENS ELEMENTARY SCHOOL,3,2019,46,13
19K677,EAST NEW YORK ELEMENTARY SCHOOL OF EXCELLENCE,3,2019,83,37
20K030,P.S./I.S. 30 MARY WHITE OVINGTON,3,2019,95,74
20K048,P.S. 048 MAPLETON,3,2019,91,61
20K069,P.S. 69 VINCENT D. GRIPPO SCHOOL,3,2019,114,83
20K102,P.S. 102 THE BAYVIEW,3,2019,212,150
20K104,P.S./I.S. 104 THE FORT HAMILTON SCHOOL,3,2019,128,92
20K105,P.S. 105 THE BLYTHEBOURNE,3,2019,221,176
20K112,P.S. 112 LEFFERTS PARK,3,2019,112,62
20K127,P.S. 127 MCKINLEY PARK,3,2019,72,48
20K160,P.S. 160 WILLIAM T. SAMPSON,3,2019,197,164
20K163,P.S. 163 BATH BEACH,3,2019,54,30
20K164,P.S. 164 CAESAR RODNEY,3,2019,97,60
20K170,RALPH A. FABRIZIO SCHOOL,3,2019,142,117
20K176,P.S. 176 OVINGTON,3,2019,217,160
20K179,P.S. 179 KENSINGTON,3,2019,121,52
20K180,THE SEEALL ACADEMY,3,2019,87,41
20K185,P.S. 185 WALTER KASSENBROCK,3,2019,101,71
20K186,P.S. 186 DR. IRVING A GLADSTONE,3,2019,153,77
20K192,P.S. 192 - THE MAGNET SCHOOL FOR MATH AND SCIENCE,3,2019,77,41
20K200,P.S. 200 BENSON SCHOOL,3,2019,199,141
20K204,P.S. 204 VINCE LOMBARDI,3,2019,167,128
20K205,P.S. 205 CLARION,3,2019,201,136
20K229,P.S. 229 DYKER,3,2019,128,99
20K247,P.S. 247 BROOKLYN,3,2019,144,121
20K264,P.S. 264 BAY RIDGE ELEMENTARY SCHOOL FOR THE ARTS,3,2019,66,38
20K310,THE SCHOOL FOR FUTURE LEADERS,3,2019,66,57
20K503,P.S. 503: THE SCHOOL OF DISCOVERY,3,2019,161,92
20K506,P.S. 506: THE SCHOOL OF JOURNALISM & TECHNOLOGY,3,2019,132,64
20K682,THE ACADEMY OF TALENTED SCHOLARS,3,2019,55,46
