CAD_EVNT_ID,CREATE_DATE,INCIDENT_DATE,INCIDENT_TIME,NYPD_PCT_CD,BORO_NM,PATRL_BORO_NM,GEO_CD_X,GEO_CD_Y,RADIO_CODE,TYP_DESC,CIP_JOBS,ADD_TS,DISP_TS,ARRIVD_TS,CLOSNG_TS,Latitude,Longitude
78128690,07/04/2021,07/04/2021,00:12:38,23,MANHATTAN,PATROL BORO MAN NORTH,998829,226859,54E1,AMBULANCE CASE: EDP/INSIDE,Non CIP,07/04/2021 12:12:38 AM,07/04/2021 12:13:12 AM,,07/04/2021 12:58:04 AM,40.789348,-73.947352
78128692,07/04/2021,07/04/2021,00:12:41,18,MANHATTAN,PATROL BORO MAN SOUTH,987706,217218,32Q1,LARCENY (IN PROGRESS): OTHER/INSIDE,Serious,07/04/2021 12:12:41 AM,07/04/2021 12:14:49 AM,,07/04/2021 02:12:51 AM,40.762897,-73.987526
78128696,07/04/2021,07/04/2021,00:12:53,6,MANHATTAN,PATROL BORO MAN SOUTH,983263,205483,54E2,AMBULANCE CASE: EDP/OUTSIDE,Non CIP,07/04/2021 12:12:53 AM,07/04/2021 12:16:55 AM,07/04/2021 12:27:04 AM,07/04/2021 12:29:05 AM,40.730688,-74.003563
78128696,07/04/2021,07/04/2021,00:12:53,6,MANHATTAN,PATROL BORO MAN SOUTH,983263,205483,54E2,AMBULANCE CASE: EDP/OUTSIDE,Non CIP,07/04/2021 12:12:53 AM,07/04/2021 12:13:39 AM,,07/04/2021 12:46:51 AM,40.730688,-74.003563
78128700,07/04/2021,07/04/2021,00:12:57,32,MANHATTAN,PATROL BORO MAN NORTH,1001223,241615,75M,TRAIN RUN/MOBILE ORDER MAINTENANCE SWEEP,Non CIP,07/04/2021 12:12:57 AM,07/04/2021 12:12:58 AM,07/04/2021 12:12:58 AM,07/04/2021 12:29:42 AM,40.829845,-73.938670
78128704,07/04/2021,07/04/2021,00:13:08,17,MANHATTAN,PATROL BORO MAN SOUTH,994454,215429,75D,VISIBILITY PATROL: DIRECTED,Non CIP,07/04/2021 12:13:08 AM,07/04/2021 12:13:08 AM,07/04/2021 12:13:08 AM,07/04/2021 01:40:46 AM,40.757982,-73.963169
78128707,07/04/2021,07/04/2021,00:13:11,1,MANHATTAN,PATROL BORO MAN SOUTH,983742,201882,75D,VISIBILITY PATROL: DIRECTED,Non CIP,07/04/2021 12:13:11 AM,07/04/2021 12:13:11 AM,07/04/2021 12:13:11 AM,07/04/2021 04:13:19 AM,40.720804,-74.001834
78128717,07/04/2021,07/04/2021,00:13:37,26,MANHATTAN,PATROL BORO MAN NORTH,995033,237552,75D,VISIBILITY PATROL: DIRECTED,Non CIP,07/04/2021 12:13:37 AM,07/04/2021 12:13:37 AM,07/04/2021 12:13:37 AM,07/04/2021 12:54:24 AM,40.818703,-73.961044
78128734,07/04/2021,07/04/2021,00:14:23,19,MANHATTAN,PATROL BORO MAN NORTH,998835,224880,75S,STATION INSPECTION BY TRANSIT BUREAU PERSONNEL,Non CIP,07/04/2021 12:14:23 AM,07/04/2021 12:14:23 AM,07/04/2021 12:14:23 AM,07/04/2021 12:34:47 AM,40.783916,-73.947335
78128735,07/04/2021,07/04/2021,00:14:23,18,MANHATTAN,PATROL BORO MAN SOUTH,989609,216015,10Y9,INVESTIGATE/POSSIBLE CRIME: SERIOUS OTHER/TRANSIT,Non CIP,07/04/2021 12:14:23 AM,07/04/2021 12:15:20 AM,,07/04/2021 12:46:54 AM,40.759594,-73.980657
78128736,07/04/2021,07/04/2021,00:14:23,23,MANHATTAN,PATROL BORO MAN NORTH,1001294,228548,68Q1,SEE COMPLAINANT: OTHER/INSIDE,Non CIP,07/04/2021 12:14:23 AM,07/04/2021 12:14:23 AM,07/04/2021 12:14:23 AM,07/04/2021 12:21:32 AM,40.793979,-73.938446
78128739,07/04/2021,07/04/2021,00:14:28,33,MANHATTAN,PATROL BORO MAN NORTH,999377,242926,50G2,DISORDERLY: GROUP/OUTSIDE,Non CIP,07/04/2021 12:14:28 AM,07/04/2021 12:17:10 AM,07/04/2021 12:26:58 AM,07/04/2021 12:31:11 AM,40.833446,-73.945337
78128752,07/04/2021,07/04/2021,00:14:54,32,MANHATTAN,PATROL BORO MAN NORTH,998762,235107,68Q1,SEE COMPLAINANT: OTHER/INSIDE,Non CIP,07/04/2021 12:14:54 AM,07/04/2021 12:14:56 AM,,07/04/2021 01:06:22 AM,40.811987,-73.947577
78128753,07/04/2021,07/04/2021,00:14:56,18,MANHATTAN,PATROL BORO MAN SOUTH,987326,216532,50G2,DISORDERLY: GROUP/OUTSIDE,Non CIP,07/04/2021 12:14:56 AM,07/04/2021 12:18:32 AM,,07/04/2021 12:18:37 AM,40.761014,-73.988898
78128755,07/04/2021,07/04/2021,00:15:03,6,MANHATTAN,PATROL BORO MAN SOUTH,986238,205515,11C4,ALARMS: COMMERCIAL/BURGLARY,Non CIP,07/04/2021 12:17:32 AM,07/04/2021 12:21:09 AM,07/04/2021 12:21:12 AM,07/04/2021 12:25:37 AM,40.730776,-73.992829
78128764,07/04/2021,07/04/2021,00:15:24,26,MANHATTAN,PATROL BORO MAN NORTH,996453,236828,75D,VISIBILITY PATROL: DIRECTED,Non CIP,07/04/2021 12:15:24 AM,07/04/2021 12:15:24 AM,07/04/2021 12:15:24 AM,07/04/2021 12:43:04 AM,40.816714,-73.955915
78128773,07/04/2021,07/04/2021,00:15:36,5,MANHATTAN,PATROL BORO MAN SOUTH,985958,201825,75S,STATION INSPECTION BY TRANSIT BUREAU PERSONNEL,Non CIP,07/04/2021 12:15:36 AM,07/04/2021 12:15:37 AM,07/04/2021 12:15:37 AM,07/04/2021 12:32:59 AM,40.720648,-73.993840
78128776,07/04/2021,07/04/2021,00:15:43,14,MANHATTAN,PATROL BORO MAN SOUTH,985929,214009,68Q2,SEE COMPLAINANT: OTHER/OUTSIDE,Non CIP,07/04/2021 12:15:43 AM,07/04/2021 12:31:30 AM,07/04/2021 03:42:31 AM,07/04/2021 04:52:48 AM,40.754090,-73.993941
78128778,07/04/2021,07/04/2021,00:15:56,13,MANHATTAN,PATROL BORO MAN SOUTH,986616,207258,75O,TRAIN ORDER MAINTENANCE SWEEP (TOMS),Non CIP,07/04/2021 12:15:56 AM,07/04/2021 12:15:56 AM,07/04/2021 12:15:56 AM,07/04/2021 12:50:30 AM,40.735560,-73.991464
78128785,07/04/2021,07/04/2021,00:16:07,33,MANHATTAN,PATROL BORO MAN NORTH,1000900,243674,50G2,DISORDERLY: GROUP/OUTSIDE,Non CIP,07/04/2021 12:16:07 AM,07/04/2021 12:16:53 AM,07/04/2021 12:33:01 AM,07/04/2021 12:34:26 AM,40.835497,-73.939832
78128792,07/04/2021,07/04/2021,00:16:18,20,MANHATTAN,PATROL BORO MAN NORTH,989923,224005,11C4,ALARMS: COMMERCIAL/BURGLARY,Non CIP,07/04/2021 12:18:09 AM,07/04/2021 12:22:17 AM,,07/04/2021 12:34:03 AM,40.781525,-73.979517
78128793,07/04/2021,07/04/2021,00:16:19,34,MANHATTAN,PATROL BORO MAN NORTH,1006958,255001,10Y3,INVESTIGATE/POSSIBLE CRIME: SERIOUS/OTHER,Non CIP,07/04/2021 12:16:19 AM,07/04/2021 12:18:07 AM,,07/04/2021 12:18:22 AM,40.866572,-73.917901
78128806,07/04/2021,07/04/2021,00:16:53,28,MANHATTAN,PATROL BORO MAN NORTH,996153,231533,44H1,HAZ MAT: INSIDE,Non CIP,07/04/2021 12:16:53 AM,07/04/2021 12:25:37 AM,07/04/2021 12:39:53 AM,07/04/2021 12:39:56 AM,40.802181,-73.957008
78128807,07/04/2021,07/04/2021,00:16:54,32,MANHATTAN,PATROL BORO MAN NORTH,1001558,240778,75D,VISIBILITY PATROL: DIRECTED,Non CIP,07/04/2021 12:16:54 AM,07/04/2021 12:22:16 AM,07/04/2021 12:22:17 AM,07/04/2021 12:46:10 AM,40.827547,-73.937461
78128809,07/04/2021,07/04/2021,00:16:57,5,MANHATTAN,PATROL BORO MAN SOUTH,986475,197819,75D,VISIBILITY PATROL: DIRECTED,Non CIP,07/04/2021 12:16:57 AM,07/04/2021 12:16:57 AM,07/04/2021 12:16:57 AM,07/04/2021 01:10:59 AM,40.709652,-73.991976
78128814,07/04/2021,07/04/2021,00:17:24,14,MANHATTAN,PATROL BORO MAN SOUTH,987088,214245,50G2,DISORDERLY: GROUP/OUTSIDE,Non CIP,07/04/2021 12:17:24 AM,07/04/2021 12:31:22 AM,,07/04/2021 12:56:32 AM,40.754737,-73.989758
78128816,07/04/2021,07/04/2021,00:17:27,20,MANHATTAN,PATROL BORO MAN NORTH,989192,220316,29H1,OTHER CRIMES (PAST): HARASSMENT/INSIDE,Non CIP,07/04/2021 12:17:27 AM,07/04/2021 12:19:29 AM,,07/04/2021 12:26:18 AM,40.771400,-73.982159
78128818,07/04/2021,07/04/2021,00:17:32,32,MANHATTAN,PATROL BORO MAN NORTH,999505,238457,34Q1,ASSAULT (IN PROGRESS): OTHER/INSIDE,Serious,07/04/2021 12:17:32 AM,07/04/2021 12:18:20 AM,07/04/2021 12:21:22 AM,07/04/2021 07:42:53 AM,40.821180,-73.944885
78128820,07/04/2021,07/04/2021,00:17:35,32,MANHATTAN,PATROL BORO MAN NORTH,1002118,242744,10S4,SHOT SPOTTER,Critical,07/04/2021 12:17:35 AM,07/04/2021 12:17:38 AM,07/04/2021 12:22:21 AM,07/04/2021 12:34:52 AM,40.832942,-73.935433
78128826,07/04/2021,07/04/2021,00:17:50,13,MANHATTAN,PATROL BORO MAN SOUTH,986432,209222,75C,COMMUNITY TIME,Non CIP,07/04/2021 12:17:50 AM,07/04/2021 12:17:50 AM,07/04/2021 12:17:50 AM,07/04/2021 01:07:38 AM,40.740951,-73.992127
