CAD_EVNT_ID,CREATE_DATE,INCIDENT_DATE,INCIDENT_TIME,NYPD_PCT_CD,BORO_NM,PATRL_BORO_NM,GEO_CD_X,GEO_CD_Y,RADIO_CODE,TYP_DESC,CIP_JOBS,ADD_TS,DISP_TS,ARRIVD_TS,CLOSNG_TS,Latitude,Longitude
73974028,01/01/2021,01/01/2021,00:02:30,60,BROOKLYN,PATROL BORO BKLYN SOUTH,989319,149891,34Q2,ASSAULT (IN PROGRESS): OTHER/OUTSIDE,Serious,01/01/2021 12:02:30 AM,01/01/2021 12:03:52 AM,01/01/2021 02:04:23 AM,01/01/2021 02:05:43 AM,40.578099,-73.981754
73974029,01/01/2021,01/01/2021,00:02:36,66,BROOKLYN,PATROL BORO BKLYN SOUTH,992842,164517,50G2,DISORDERLY: GROUP/OUTSIDE,Non CIP,01/01/2021 12:02:36 AM,01/01/2021 12:11:05 AM,01/01/2021 12:41:14 AM,01/01/2021 12:41:20 AM,40.618242,-73.969053
73974030,01/01/2021,01/01/2021,00:02:37,67,BROOKLYN,PATROL BORO BKLYN SOUTH,1004026,180815,10S2,INVESTIGATE/POSSIBLE CRIME: SHOTS FIRED/OUTSIDE,Critical,01/01/2021 12:02:37 AM,01/01/2021 12:05:56 AM,01/01/2021 12:14:29 AM,01/01/2021 12:38:25 AM,40.662958,-73.928720
73974031,01/01/2021,01/01/2021,00:02:45,108,QUEENS,PATROL BORO QUEENS NORTH,1002664,210685,54S1,AMBULANCE CASE: SERIOUS/INSIDE,Non CIP,01/01/2021 12:02:45 AM,01/01/2021 12:06:14 AM,01/01/2021 12:18:20 AM,01/01/2021 12:25:57 AM,40.744947,-73.933547
73974032,01/01/2021,01/01/2021,00:02:50,107,QUEENS,PATROL BORO QUEENS SOUTH,1034361,197492,75M,TRAIN RUN/MOBILE ORDER MAINTENANCE SWEEP,Non CIP,01/01/2021 12:02:50 AM,01/01/2021 12:02:50 AM,01/01/2021 12:02:50 AM,01/01/2021 12:08:30 AM,40.708613,-73.819255
73974033,01/01/2021,01/01/2021,00:02:51,49,BRONX,PATROL BORO BRONX,1027440,251415,10H1,INVESTIGATE/POSSIBLE CRIME: CALLS FOR HELP/INSIDE,Non CIP,01/01/2021 12:02:51 AM,01/01/2021 12:09:28 AM,01/01/2021 01:38:57 AM,01/01/2021 01:39:00 AM,40.856654,-73.843872
73974034,01/01/2021,01/01/2021,00:02:52,73,BROOKLYN,PATROL BORO BKLYN NORTH,1008852,187253,10S1,INVESTIGATE/POSSIBLE CRIME: SHOTS FIRED/INSIDE,Critical,01/01/2021 12:02:52 AM,01/01/2021 12:05:27 AM,,01/01/2021 12:31:42 AM,40.680617,-73.911301
73974035,01/01/2021,01/01/2021,00:02:57,105,QUEENS,PATROL BORO QUEENS SOUTH,1055886,185883,10S4,SHOT SPOTTER,Critical,01/01/2021 12:02:57 AM,01/01/2021 12:03:01 AM,01/01/2021 12:32:24 AM,01/01/2021 07:54:49 AM,40.676601,-73.741740
73974037,01/01/2021,01/01/2021,00:03:09,48,BRONX,PATROL BORO BRONX,1016031,249137,54S1,AMBULANCE CASE: SERIOUS/INSIDE,Non CIP,01/01/2021 12:03:09 AM,01/01/2021 12:08:51 AM,,01/01/2021 01:54:56 AM,40.850450,-73.885126
73974039,01/01/2021,01/01/2021,00:03:15,28,MANHATTAN,PATROL BORO MAN NORTH,998253,233408,50P1,DISORDERLY: PERSON/INSIDE,Non CIP,01/01/2021 12:03:15 AM,01/01/2021 12:21:59 AM,01/01/2021 02:49:29 AM,01/01/2021 02:51:05 AM,40.807324,-73.949419
73974040,01/01/2021,01/01/2021,00:03:24,46,BRONX,PATROL BORO BRONX,1005905,248764,10S2,INVESTIGATE/POSSIBLE CRIME: SHOTS FIRED/OUTSIDE,Critical,01/01/2021 12:03:24 AM,01/01/2021 12:04:42 AM,01/01/2021 12:16:15 AM,01/01/2021 12:29:42 AM,40.849456,-73.921728
73974041,01/01/2021,01/01/2021,00:03:24,17,MANHATTAN,PATROL BORO MAN SOUTH,989991,210386,50G1,DISORDERLY: GROUP/INSIDE,Non CIP,01/01/2021 12:03:24 AM,01/01/2021 12:13:00 AM,,01/01/2021 12:27:07 AM,40.744144,-73.979283
73974042,01/01/2021,01/01/2021,00:03:26,105,QUEENS,PATROL BORO QUEENS SOUTH,1062791,209607,50G2,DISORDERLY: GROUP/OUTSIDE,Non CIP,01/01/2021 12:03:26 AM,01/01/2021 12:05:12 AM,,01/01/2021 12:12:33 AM,40.741659,-73.716569
